id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
269633072964698112,269633072964698112,1353120508000,2012-11-16,21:48:28,EDT,470577454,margorilla17,i dont have a spleen,,#delete the frittata @JenBucks @idiosynchrisies @halesbales9977,['jenbucks'],[],[],0,0,0,['#delete'],[],https://twitter.com/Margorilla17/status/269633072964698112,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '317939415', 'username': 'JenBucks'}]",,,,
268497104077475840,268497104077475840,1352849672000,2012-11-13,18:34:32,EDT,470577454,margorilla17,i dont have a spleen,,“Check out the @nytimes completely redesigned crosswords:  http://nyti.ms/TWvnZN ” @itisthefaye Help what does this mean? IS NOTHING SACRED,"['nytimes', 'itisthefaye']",['http://nyti.ms/TWvnZN'],[],0,0,1,[],[],https://twitter.com/Margorilla17/status/268497104077475840,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '807095', 'username': 'nytimes'}, {'user_id': '426988888', 'username': 'itisthefaye'}]",,,,
264131459210674176,264116585093005312,1351808821000,2012-11-01,18:27:01,EDT,470577454,margorilla17,i dont have a spleen,,@kobbsalad let's ask the original master of the Facebook poke @HugeSpeciman #amisaltingyourgame,['kobbsalad'],[],[],1,0,0,['#amisaltingyourgame'],[],https://twitter.com/Margorilla17/status/264131459210674176,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '87865919', 'username': 'kobbsalad'}]",,,,
260878449953083392,260878449953083392,1351033244000,2012-10-23,19:00:44,EDT,470577454,margorilla17,i dont have a spleen,,"“@frickcollection: Did u know that the Frick owns a  large number of clocks and watches?"" @liz_doe lets spend #time there.. #weddingresearch","['frickcollection', 'liz_doe']",[],[],0,0,1,"['#time', '#weddingresearch']",[],https://twitter.com/Margorilla17/status/260878449953083392,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '70100659', 'username': 'frickcollection'}, {'user_id': '435266221', 'username': 'liz_doe'}]",,,,
260877190445559809,260877190445559809,1351032943000,2012-10-23,18:55:43,EDT,470577454,margorilla17,i dont have a spleen,,@miguelfat16 what happened? Your twitter game has plummeted since I left Denver. You started off so promisingly.. #bust,['miguelfat16'],[],[],0,1,0,['#bust'],[],https://twitter.com/Margorilla17/status/260877190445559809,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '892643940', 'username': 'miguelfat16'}]",,,,
260056538721427456,260056538721427456,1350837285000,2012-10-21,12:34:45,EDT,470577454,margorilla17,i dont have a spleen,,Just your casual Sunday morning trip to the fire department... #ringadingding @kobbsalad,['kobbsalad'],[],[],0,1,0,['#ringadingding'],[],https://twitter.com/Margorilla17/status/260056538721427456,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '87865919', 'username': 'kobbsalad'}]",,,,
259865581552013312,259865581552013312,1350791757000,2012-10-20,23:55:57,EDT,470577454,margorilla17,i dont have a spleen,,SO PROUD OF YOUR ASSIST @AdamEstoclet...pretty darty at the darty #panda #36%respectively @abbotsfordheat 🌟💘🌟💘🌟💘🌟,"['adamestoclet', 'abbotsfordheat']",[],[],0,0,1,['#panda'],[],https://twitter.com/Margorilla17/status/259865581552013312,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '334398955', 'username': 'AdamEstoclet'}, {'user_id': '38222298', 'username': 'abbotsfordheat'}]",,,,
259552952551878656,259552952551878656,1350717220000,2012-10-20,03:13:40,EDT,470577454,margorilla17,i dont have a spleen,,I want some truffles in my life. Welcome to twitter Mike Gordon. #n00b @miguelfat16,['miguelfat16'],[],[],0,0,0,['#n00b'],[],https://twitter.com/Margorilla17/status/259552952551878656,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '892643940', 'username': 'miguelfat16'}]",,,,
259544578456162304,259544578456162304,1350715224000,2012-10-20,02:40:24,EDT,470577454,margorilla17,i dont have a spleen,,"“@kobbsalad: #grapesoda ""that thing I got outta the soda machine and never made that mistake again""” I mean....stop stealing my jokes",['kobbsalad'],[],[],0,0,0,['#grapesoda'],[],https://twitter.com/Margorilla17/status/259544578456162304,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '87865919', 'username': 'kobbsalad'}]",,,,
259526488376885248,259510904264224768,1350710911000,2012-10-20,01:28:31,EDT,470577454,margorilla17,i dont have a spleen,,"@itisthefaye @12jamillionaire always friends to laugh about it with, jamils","['itisthefaye', '12jamillionaire']",[],[],0,0,0,[],[],https://twitter.com/Margorilla17/status/259526488376885248,False,,0,,,,,,,"[{'user_id': '470577454', 'username': 'Margorilla17'}, {'user_id': '426988888', 'username': 'itisthefaye'}, {'user_id': '245091250', 'username': '12jamillionaire'}]",,,,
